show_id,type,title,date_added,release_year,rating,duration,Duration_type
s90,TV Show,Mighty Raju,"September 9, 2021",2017,TV-Y7,4,Seasons
s7828,Movie,Ram Teri Ganga Maili,"December 31, 2019",1985,TV-14,178,min
s1256,Movie,Seven Souls in the Skull Castle 2011,"March 1, 2021",2011,TV-14,177,min
s93,TV Show,Into the Night,"September 8, 2021",2021,TV-MA,2,Seasons
s2483,Movie,Bye Bye London,"May 21, 2020",1981,TV-14,177,min
s3632,Movie,Manu,"August 1, 2019",2018,TV-14,177,min
s96,TV Show,The Circle,"September 8, 2021",2021,TV-MA,3,Seasons
s7825,Movie,Raja Hindustani,"May 1, 2017",1996,TV-14,177,min
s98,TV Show,Kid Cosmic,"September 7, 2021",2021,TV-Y7,2,Seasons
s99,TV Show,Octonauts: Above & Beyond,"September 7, 2021",2021,TV-Y,1,Season
s100,TV Show,On the Verge,"September 7, 2021",2021,TV-MA,1,Season
s101,TV Show,Tobot Galaxy Detectives,"September 7, 2021",2019,TV-Y7,2,Seasons
s8145,Movie,Taal,"March 1, 2018",1999,TV-PG,177,min
s103,TV Show,Countdown: Inspiration4 Mission to Space,"September 6, 2021",2021,TV-14,1,Season
s2970,Movie,Together For Eternity,"February 1, 2020",1999,TV-G,176,min
s105,TV Show,Tayo the Little Bus,"September 6, 2021",2016,TV-Y,2,Seasons
s3702,Movie,Super Deluxe,"June 29, 2019",2019,TV-MA,176,min
s107,TV Show,Bunk'd,"September 5, 2021",2021,TV-G,5,Seasons
s6031,Movie,A Bridge Too Far,"July 1, 2020",1977,PG,176,min
s109,TV Show,Dive Club,"September 3, 2021",2021,TV-G,1,Season
s110,TV Show,La casa de papel,"September 3, 2021",2021,TV-MA,5,Seasons
s111,TV Show,Money Heist: From Tokyo to Berlin,"September 3, 2021",2021,TV-MA,1,Season
s112,TV Show,Sharkdog,"September 3, 2021",2021,TV-Y,1,Season
s6611,Movie,Dil Hai Tumhaara,"April 1, 2018",2002,TV-14,176,min
s7023,Movie,Hum Saath-Saath Hain,"January 1, 2018",1999,TV-G,176,min
s2716,Movie,Agneepath,"April 1, 2020",1990,TV-14,174,min
s3133,Movie,Dil Dhadakne Do,"December 15, 2019",2015,TV-MA,174,min
s1127,Movie,My Fair Lady,"April 1, 2021",1964,G,173,min
s1945,Movie,Mann,"September 28, 2020",1999,TV-14,173,min
s2490,Movie,Sayed the Servant,"May 21, 2020",1985,TV-14,173,min
s7161,Movie,Kaalia,"December 31, 2019",1981,TV-14,173,min
s121,TV Show,Heroes of Goo Jit Zu,"September 2, 2021",2021,TV-Y7,1,Season
s122,TV Show,Hotel Del Luna,"September 2, 2021",2019,TV-14,1,Season
s7923,Movie,Sairat,"April 1, 2018",2016,TV-14,173,min
s124,TV Show,Luv Kushh,"September 2, 2021",2012,TV-Y7,1,Season
s125,TV Show,Pororo - The Little Penguin,"September 2, 2021",2013,TV-Y7,3,Seasons
s126,TV Show,Q-Force,"September 2, 2021",2021,TV-MA,1,Season
s8630,Movie,Trimurti,"March 1, 2018",1995,TV-PG,173,min
s2739,Movie,Muqaddar ka Faisla,"April 1, 2020",1987,TV-14,172,min
s3164,Movie,Saaho,"December 8, 2019",2019,TV-14,172,min
s6131,Movie,Amar Akbar Anthony,"December 31, 2019",1977,TV-14,172,min
s6502,Movie,Cloud Atlas,"August 1, 2017",2012,R,172,min
s1653,Movie,Andhaghaaram,"November 24, 2020",2020,TV-14,171,min
s133,TV Show,Brave Animated Series,"September 1, 2021",2021,TV-MA,1,Season
s1654,Movie,Andhakaaram,"November 24, 2020",2020,TV-14,171,min
s2917,Movie,Panipat - The Great Betrayal,"February 14, 2020",2019,TV-14,171,min
s3510,Movie,Kabir Singh,"September 19, 2019",2019,TV-MA,171,min
s4953,Movie,Main Hoon Na,"April 1, 2018",2004,TV-14,171,min
s7558,Movie,Namak Halaal,"December 31, 2019",1982,TV-14,171,min
s8771,Movie,Yaadein,"March 1, 2018",2001,TV-14,171,min
s2722,Movie,Duniya,"April 1, 2020",1984,TV-14,170,min
s3934,Movie,Petta (Telugu Version),"April 7, 2019",2019,TV-14,170,min
s3940,Movie,Petta,"April 5, 2019",2019,TV-14,170,min
s6981,Movie,Ho Mann Jahaan,"July 1, 2017",2015,TV-PG,170,min
s7184,Movie,Khalnayak,"March 1, 2018",1993,TV-14,170,min
s3134,Movie,Don,"December 15, 2019",2006,TV-14,169,min
s4955,Movie,Om Shanti Om,"April 1, 2018",2007,TV-14,169,min
s3895,Movie,A Fortunate Man,"April 20, 2019",2018,TV-MA,168,min
s148,TV Show,How to Be a Cowboy,"September 1, 2021",2021,TV-PG,1,Season
s149,TV Show,HQ Barbers,"September 1, 2021",2020,TV-14,1,Season
s4731,Movie,Mohenjo Daro,"August 2, 2018",2016,TV-14,168,min
s5204,Movie,The Hateful Eight,"October 25, 2017",2015,R,168,min
s5572,Movie,Asoka,"March 15, 2017",2001,R,168,min
s6351,Movie,Bobby,"December 31, 2019",1973,TV-14,168,min
s154,TV Show,Kid-E-Cats,"September 1, 2021",2016,TV-Y,2,Seasons
s155,TV Show,Kuroko's Basketball,"September 1, 2021",2015,TV-MA,3,Seasons
s7995,Movie,Shakti: The Power,"March 1, 2018",2002,TV-MA,168,min
s8005,Movie,Shiva,"December 31, 2019",1990,TV-MA,168,min
s6827,Movie,Gangs of New York,"August 20, 2019",2002,R,167,min
s25,Movie,Jeans,"September 21, 2021",1998,TV-14,166,min
s2341,Movie,Vivah,"June 25, 2020",2006,TV-14,166,min
s161,TV Show,Major Dad,"September 1, 2021",1992,TV-PG,4,Seasons
s4793,Movie,Chalte Chalte,"July 1, 2018",2003,TV-14,166,min
s5008,Movie,Dil Se,"March 1, 2018",1998,TV-14,166,min
s5336,Movie,Baahubali 2: The Conclusion (Malayalam Version),"August 7, 2017",2017,TV-14,166,min
s5337,Movie,Baahubali 2: The Conclusion (Tamil Version),"August 7, 2017",2017,TV-MA,166,min
s166,TV Show,Oldsters,"September 1, 2021",2019,TV-MA,1,Season
s6247,Movie,Barsaat,"April 1, 2018",1995,TV-PG,166,min
s7660,Movie,Once Upon a Time in the West,"November 20, 2019",1968,PG-13,166,min
s203,Movie,Kyaa Kool Hai Hum,"August 27, 2021",2005,TV-MA,165,min
s393,Movie,Django Unchained,"July 24, 2021",2012,R,165,min
s1862,Movie,Dil,"October 12, 2020",1990,TV-14,165,min
s2723,Movie,Duplicate,"April 1, 2020",1998,TV-14,165,min
s5335,Movie,Baahubali 2: The Conclusion (Hindi Version),"August 7, 2017",2017,TV-MA,165,min
s7250,Movie,Kyun! Ho Gaya Na,"March 1, 2018",2004,TV-PG,165,min
s7566,Movie,Natsamrat - Asa Nat Hone Nahi,"June 1, 2018",2016,TV-14,165,min
s7802,Movie,Pukar,"March 1, 2018",2000,TV-14,165,min
s1115,Movie,3 Idiots,"April 1, 2021",2009,PG-13,164,min
s2340,Movie,Prem Ratan Dhan Payo,"June 25, 2020",2015,TV-14,164,min
s5482,Movie,Chamatkar,"May 15, 2017",1992,TV-14,164,min
s6074,Movie,Aarakshan,"December 31, 2019",2011,TV-14,164,min
s4724,Movie,Fiza,"August 2, 2018",2000,TV-14,163,min
s182,TV Show,Turning Point: 9/11 and the War on Terror,"September 1, 2021",2021,TV-14,1,Season
s5132,Movie,Shikari,"December 8, 2017",1991,TV-14,163,min
s5305,Movie,Mujrim,"September 1, 2017",1989,TV-14,163,min
s185,TV Show,Sparking Joy,"August 31, 2021",2021,TV-PG,1,Season
s5401,Movie,Professor,"July 1, 2017",1962,TV-PG,163,min
s187,TV Show,Hometown Cha-Cha-Cha,"August 29, 2021",2021,TV-14,1,Season
s188,TV Show,The Ingenuity of the Househusband,"August 29, 2021",2021,TV-G,1,Season
s5501,Movie,English Babu Desi Mem,"May 1, 2017",1996,TV-14,163,min
s190,TV Show,Bread Barbershop,"August 28, 2021",2020,TV-Y,2,Seasons
s6145,Movie,American Honey,"April 27, 2019",2016,R,163,min
s6845,Movie,Ghayal,"December 31, 2019",1990,TV-14,163,min
s7110,Movie,Jaan-E-Mann: Let's Fall in Love... Again,"December 31, 2019",2006,TV-14,163,min
s194,TV Show,D.P.,"August 27, 2021",2021,TV-MA,1,Season
s195,TV Show,Deadly Sins,"August 27, 2021",2002,TV-MA,1,Season
s7347,Movie,Love Ni Bhavai,"May 1, 2018",2017,TV-14,163,min
s7701,Movie,Palm Trees in the Snow,"May 1, 2016",2015,TV-MA,163,min
s198,TV Show,I Heart Arlo,"August 27, 2021",2021,TV-Y7,1,Season
s199,TV Show,King of Boys: The Return of the King,"August 27, 2021",2021,TV-MA,1,Season
s8510,Movie,The Sinking Of Van Der Wijck,"September 28, 2018",2013,TV-14,163,min
s1023,Movie,Taare Zameen Par,"April 17, 2021",2007,PG,162,min
s1306,Movie,Awara Paagal Deewana,"February 16, 2021",2002,TV-14,162,min
s1674,Movie,Black Friday,"November 19, 2020",2004,TV-MA,162,min
s2273,Movie,Drishyam,"July 5, 2020",2015,TV-14,162,min
s2286,Movie,Players,"July 5, 2020",2012,TV-14,162,min
s2841,Movie,Angu Vaikuntapurathu (Malayalam),"March 5, 2020",2020,TV-14,162,min
s2874,Movie,Ala Vaikunthapurramuloo,"February 27, 2020",2020,TV-14,162,min
s4050,Movie,Sarkar,"March 2, 2019",2018,TV-MA,162,min
s4692,Movie,Mersal,"August 21, 2018",2017,TV-14,162,min
s4732,Movie,Raajneeti,"August 2, 2018",2010,TV-14,162,min
s5131,Movie,Jaal,"December 8, 2017",1986,TV-14,162,min
s5304,Movie,Manoranjan,"September 1, 2017",1974,TV-14,162,min
s213,TV Show,Rebellion,"August 27, 2021",2016,TV-MA,2,Seasons
s214,TV Show,RIDE ON TIME,"August 27, 2021",2021,TV-PG,3,Seasons
s6655,Movie,Dum,"March 1, 2018",2003,TV-14,162,min
s8640,Movie,Tukaram,"February 15, 2018",2012,TV-PG,162,min
s23,Movie,Avvai Shanmughi,"September 21, 2021",1996,TV-PG,161,min
s1423,Movie,Apaharan,"January 8, 2021",2005,TV-14,161,min
s219,TV Show,Titletown High,"August 27, 2021",2021,TV-14,1,Season
s220,TV Show,EDENS ZERO,"August 26, 2021",2021,TV-14,1,Season
s221,TV Show,Family Reunion,"August 26, 2021",2021,TV-PG,4,Seasons
s2724,Movie,Friendship,"April 1, 2020",1980,TV-14,161,min
s223,TV Show,Clickbait,"August 25, 2021",2021,TV-MA,1,Season
s224,TV Show,John of God: The Crimes of a Spiritual Healer,"August 25, 2021",2021,TV-MA,1,Season
s225,TV Show,Motel Makeover,"August 25, 2021",2021,TV-14,1,Season
s226,TV Show,Open Your Eyes,"August 25, 2021",2021,TV-MA,1,Season
s227,TV Show,Post Mortem: No One Dies in Skarnes,"August 25, 2021",2021,TV-MA,1,Season
s3662,Movie,Bogda,"July 16, 2019",2018,TV-PG,161,min
s5421,Movie,Dangal,"June 21, 2017",2016,TV-PG,161,min
s5463,Movie,Qila,"June 1, 2017",1998,TV-14,161,min
s6852,Movie,Ghulam-E-Musthafa,"December 31, 2019",1997,TV-MA,161,min
s7591,Movie,No Entry,"March 1, 2018",2005,TV-PG,161,min
s233,TV Show,Wheel of Fortune,"August 25, 2021",2019,TV-G,3,Seasons
s8327,Movie,The Gospel of John,"October 20, 2018",2014,TV-14,161,min
s235,TV Show,Oggy Oggy,"August 24, 2021",2021,TV-Y,1,Season
s8333,Movie,The Great Gambler,"December 31, 2019",1979,TV-14,161,min
s2546,Movie,Andaz Apna Apna,"May 11, 2020",1994,TV-14,160,min
s2761,Movie,Kannum Kannum Kollaiyadithaal,"March 29, 2020",2020,TV-14,160,min
s5022,Movie,Yuva,"March 1, 2018",2004,TV-14,160,min
s5310,Movie,Sohni Mahiwal,"September 1, 2017",1984,TV-14,160,min
s5339,Movie,Baahubali: The Beginning (Malayalam Version),"August 7, 2017",2015,TV-14,160,min
s242,TV Show,Manifest,"August 21, 2021",2021,TV-14,3,Seasons
s243,TV Show,Comedy Premium League,"August 20, 2021",2021,TV-MA,1,Season
s244,TV Show,Everything Will Be Fine,"August 20, 2021",2021,TV-MA,1,Season
s5575,Movie,One 2 Ka 4,"March 15, 2017",2001,TV-14,160,min
s246,TV Show,Korean Cold Noodle Rhapsody,"August 20, 2021",2021,TV-PG,1,Season
s688,Movie,Jagame Thandhiram,"June 18, 2021",2021,TV-MA,159,min
s4508,Movie,Sanju,"October 15, 2018",2018,TV-MA,159,min
s249,TV Show,The Chair,"August 20, 2021",2021,TV-MA,1,Season
s4733,Movie,Rang De Basanti,"August 2, 2018",2006,TV-14,159,min
s4957,Movie,Phir Bhi Dil Hai Hindustani,"April 1, 2018",2000,TV-14,159,min
s5338,Movie,Baahubali: The Beginning (Hindi Version),"August 7, 2017",2015,TV-14,159,min
s5340,Movie,Baahubali: The Beginning (Tamil Version),"August 7, 2017",2015,TV-14,159,min
s1114,Movie,2012,"April 1, 2021",2009,PG-13,158,min
s255,TV Show,Go! Go! Cory Carson,"August 18, 2021",2021,TV-Y,5,Seasons
s2121,Movie,Les Mis rables,"August 16, 2020",2012,PG-13,158,min
s2864,Movie,There Will Be Blood,"March 1, 2020",2007,R,158,min
s4430,Movie,Chup Chup Ke,"November 1, 2018",2006,TV-14,158,min
s4722,Movie,Fashion,"August 2, 2018",2008,TV-MA,158,min
s4861,Movie,Aiyaary,"May 15, 2018",2018,TV-MA,158,min
s261,TV Show,The Defeated,"August 18, 2021",2020,TV-MA,1,Season
s5221,Movie,Singapore,"October 15, 2017",1960,TV-PG,158,min
s6913,Movie,Hamara Dil Aapke Paas Hai,"March 1, 2018",2000,TV-14,158,min
s264,TV Show,Mother Goose Club,"August 16, 2021",2016,TV-Y,2,Seasons
s7525,Movie,Mujhse Shaadi Karogi,"December 31, 2019",2004,TV-PG,158,min
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,"August 15, 2021",2018,TV-14,1,Season
s267,TV Show,The Creative Indians,"August 15, 2021",2020,TV-MA,1,Season
s7804,Movie,Punjab 1984,"November 1, 2017",2014,TV-14,158,min
s8321,Movie,The Girl with the Dragon Tattoo,"January 5, 2021",2011,R,158,min
s270,TV Show,Winx Club,"August 15, 2021",2015,TV-Y7,2,Seasons
s8803,Movie,Zodiac,"November 20, 2019",2007,R,158,min
s272,TV Show,Brand New Cherry Flavor,"August 13, 2021",2021,TV-MA,1,Season
s273,TV Show,Fast & Furious Spy Racers,"August 13, 2021",2021,TV-Y7,5,Seasons
s274,TV Show,Gone for Good,"August 13, 2021",2021,TV-MA,1,Season
s275,TV Show,Grace and Frankie,"August 13, 2021",2021,TV-MA,7,Seasons
s276,TV Show,The Kingdom,"August 13, 2021",2021,TV-MA,1,Season
s277,TV Show,Valeria,"August 13, 2021",2021,TV-MA,2,Seasons
s278,TV Show,AlRawabi School for Girls,"August 12, 2021",2021,TV-14,1,Season
s2017,Movie,Ani... Dr. Kashinath Ghanekar,"September 10, 2020",2018,TV-14,157,min
s2493,Movie,The Witness Who Didn't See Anything,"May 21, 2020",1976,TV-PG,157,min
s281,TV Show,Bake Squad,"August 11, 2021",2021,TV-PG,1,Season
s3517,Movie,Oh! Baby,"September 14, 2019",2019,TV-14,157,min
s4432,Movie,Dhan Dhana Dhan Goal,"November 1, 2018",2007,TV-14,157,min
s7190,Movie,Khushi,"March 1, 2018",2003,TV-14,157,min
s8789,Movie,You Carry Me,"July 1, 2016",2015,TV-MA,157,min
s178,Movie,The Guns of Navarone,"September 1, 2021",1961,TV-14,156,min
s287,TV Show,Gabby's Dollhouse,"August 10, 2021",2021,TV-Y,2,Seasons
s288,TV Show,I Need Romance,"August 10, 2021",2021,TV-14,1,Season
s289,TV Show,Las mu ecas de la mafia,"August 10, 2021",2018,TV-MA,1,Season
s290,TV Show,The Crowned Clown,"August 10, 2021",2019,TV-14,1,Season
s1867,Movie,The Legend of Bhagat Singh,"October 12, 2020",2002,TV-14,156,min
s292,TV Show,SHAMAN KING,"August 9, 2021",2021,TV-14,1,Season
s2394,Movie,Da 5 Bloods,"June 12, 2020",2020,R,156,min
s2990,Movie,A Sun,"January 24, 2020",2019,TV-MA,156,min
s3144,Movie,Luck by Chance,"December 15, 2019",2009,TV-14,156,min
s4606,Movie,Thaandavam,"October 1, 2018",2012,TV-14,156,min
s297,TV Show,Hit & Run,"August 6, 2021",2021,TV-MA,1,Season
s298,TV Show,Navarasa,"August 6, 2021",2021,TV-MA,1,Season
s4612,Movie,Vettai,"October 1, 2018",2012,TV-14,156,min
s6437,Movie,Celluloid Man,"April 1, 2017",2012,TV-PG,156,min
s6589,Movie,Deewangee,"January 3, 2020",2002,TV-MA,156,min
s6961,Movie,Hera Pheri,"December 31, 2019",1976,TV-14,156,min
s565,Movie,Boogie Nights,"July 1, 2021",1997,R,155,min
s2075,Movie,Soldier,"September 1, 2020",1998,TV-14,155,min
s2717,Movie,Brothers,"April 1, 2020",2015,TV-14,155,min
s4329,Movie,Teefa in Trouble,"December 2, 2018",2018,TV-14,155,min
s4572,Movie,Jagga Jasoos,"October 1, 2018",2017,TV-14,155,min
s4601,Movie,Race,"October 1, 2018",2008,TV-14,155,min
s5009,Movie,Guru,"March 1, 2018",2007,TV-PG,155,min
s310,TV Show,Car Masters: Rust to Riches,"August 4, 2021",2021,TV-PG,3,Seasons
s311,TV Show,Cocaine Cowboys: The Kings of Miami,"August 4, 2021",2021,TV-MA,1,Season
s312,TV Show,Control Z,"August 4, 2021",2021,TV-MA,2,Seasons
s313,TV Show,Cooking With Paris,"August 4, 2021",2021,TV-MA,1,Season
s314,TV Show,Autumn's Concerto,"August 3, 2021",2009,TV-14,1,Season
s7338,Movie,Lorai: Play to Live,"September 1, 2017",2015,TV-14,155,min
s7394,Movie,Mandi,"January 1, 2020",1983,TV-MA,155,min
s317,TV Show,Office Girls,"August 3, 2021",2011,TV-14,1,Season
s8454,Movie,The Physician,"July 15, 2015",2013,R,155,min
s137,Movie,Cold Mountain,"September 1, 2021",2003,R,154,min
s320,TV Show,The Prince Who Turns into a Frog,"August 3, 2021",2005,TV-14,1,Season
s321,TV Show,Top Secret UFO Projects: Declassified,"August 3, 2021",2021,TV-PG,1,Season
s322,TV Show,Two Fathers,"August 3, 2021",2013,TV-14,1,Season
s323,TV Show,You're My Destiny,"August 3, 2021",2008,TV-MA,1,Season
s324,TV Show,30 Rock,"August 1, 2021",2012,TV-14,7,Seasons
s325,TV Show,44 Cats,"August 1, 2021",2020,TV-Y7,3,Seasons
s2846,Movie,The Death of Mr. Lazarescu,"March 4, 2020",2005,R,154,min
s3150,Movie,Zindagi Na Milegi Dobara,"December 15, 2019",2011,TV-14,154,min
s3437,Movie,GEN HOSHINO STADIUM TOUR  POP VIRUS ,"October 10, 2019",2019,TV-14,154,min
s4447,Movie,Kalakalappu,"November 1, 2018",2012,TV-14,154,min
s4726,Movie,Haider,"August 2, 2018",2014,TV-MA,154,min
s5448,Movie,Aashik Awara,"June 1, 2017",1993,TV-14,154,min
s332,TV Show,Darwin s Game,"August 1, 2021",2020,TV-MA,1,Season
s5461,Movie,Oh Darling Yeh Hai India,"June 1, 2017",1995,TV-14,154,min
s5617,Movie,Dilwale,"February 1, 2017",2015,TV-PG,154,min
s7114,Movie,Jackie Brown,"August 1, 2019",1997,R,154,min
s7803,Movie,Pulp Fiction,"January 1, 2019",1994,R,154,min
s337,TV Show,Friday Night Lights,"August 1, 2021",2010,TV-14,5,Seasons
s7831,Movie,Ramji Londonwaley,"December 31, 2019",2005,TV-14,154,min
s339,TV Show,Hunter X Hunter (2011),"August 1, 2021",2014,TV-14,6,Seasons
s8129,Movie,Superman Returns,"October 1, 2019",2006,PG-13,154,min
s4294,Movie,Springsteen on Broadway,"December 16, 2018",2018,TV-MA,153,min
s5081,Movie,Pyar Ke Do Pal,"January 15, 2018",1986,TV-14,153,min
s5184,Movie,Mubarakan,"November 5, 2017",2017,PG-13,153,min
s5397,Movie,Lal Patthar,"July 1, 2017",1971,TV-14,153,min
s5470,Movie,Rangoon,"May 29, 2017",2017,TV-14,153,min
s6108,Movie,Aitraaz,"March 1, 2018",2004,TV-14,153,min
s6548,Movie,Dabbe 6: The Return,"April 17, 2019",2015,TV-MA,153,min
s6667,Movie,Eeda,"September 15, 2018",2018,TV-14,153,min
s7078,Movie,Inglourious Basterds,"July 22, 2019",2009,R,153,min
s7333,Movie,Lolita,"November 1, 2019",1962,R,153,min
